6161 3
7.897800 5.386800 -0.689600 
7.909700 5.328800 -0.617100 
7.916100 5.315500 -0.742300 
7.902300 5.375600 -0.718300 
7.910600 5.336800 -0.744400 
7.902800 5.349900 -0.621500 
7.898000 5.385100 -0.658900 
7.612900 5.333500 -0.751000 
7.598000 5.390800 -0.722000 
7.593300 5.403400 -0.664100 
7.617000 5.300300 -0.750200 
7.609200 5.318200 -0.606500 
7.604500 5.349300 -0.608900 
7.593000 5.405700 -0.692500 
7.611900 5.262400 -0.675800 
7.687200 5.404800 -0.695900 
7.713400 5.303000 -0.748400 
7.689500 5.393000 -0.722600 
7.706000 5.336700 -0.748500 
7.730700 5.261800 -0.678300 
7.713700 5.400200 -0.693300 
7.724300 5.321200 -0.609700 
7.733100 5.304800 -0.746600 
7.846300 5.388700 -0.661200 
7.852000 5.351100 -0.620900 
7.854600 5.338400 -0.746600 
7.845300 5.382800 -0.718700 
7.859000 5.314400 -0.746200 
7.854400 5.329400 -0.616900 
7.842600 5.393800 -0.690600 
7.861300 5.270800 -0.679200 
7.753700 5.263600 -0.680700 
7.751500 5.322100 -0.611600 
7.743700 5.391600 -0.665600 
7.748700 5.349300 -0.617100 
7.715300 5.388800 -0.718500 
7.715000 5.394100 -0.665200 
7.727600 5.337100 -0.745700 
7.721400 5.349200 -0.612900 
7.751300 5.335300 -0.745400 
7.744900 5.384100 -0.719900 
7.740300 5.397700 -0.691300 
7.754400 5.304600 -0.743700 
7.659700 5.322600 -0.610400 
7.652500 5.356800 -0.607700 
7.643300 5.408900 -0.695400 
7.659100 5.261600 -0.678400 
7.708600 5.259600 -0.677800 
7.702300 5.321300 -0.608300 
7.698600 5.352000 -0.610400 
7.689600 5.399900 -0.666000 
7.661800 5.335900 -0.752700 
7.648500 5.395800 -0.724700 
7.644000 5.403700 -0.664900 
7.668000 5.299800 -0.751400 
7.812900 5.388000 -0.661200 
7.819500 5.337900 -0.745000 
7.824200 5.313000 -0.746000 
7.808900 5.393000 -0.690100 
7.828200 5.273900 -0.681200 
7.817300 5.350800 -0.617800 
7.811300 5.381700 -0.717000 
7.818400 5.327300 -0.614200 
7.829000 5.387500 -0.661900 
7.835900 5.337800 -0.745600 
7.839400 5.313200 -0.745900 
7.824400 5.393600 -0.689700 
7.845000 5.273300 -0.681800 
7.835900 5.351000 -0.620700 
7.827500 5.383100 -0.717200 
7.837000 5.329900 -0.617200 
7.996200 5.275600 -0.673000 
7.950200 5.332900 -0.618900 
7.928700 5.371400 -0.715800 
7.970900 5.324600 -0.739200 
7.955500 5.339400 -0.740900 
7.921600 5.383200 -0.689200 
7.919300 5.384800 -0.655200 
7.933700 5.350400 -0.623300 
7.788100 5.272400 -0.651700 
7.683300 5.267100 -0.654000 
7.540100 5.272900 -0.623100 
7.591200 5.272000 -0.645700 
8.041700 5.349600 -0.652400 
8.038800 5.361600 -0.655000 
8.031900 5.314600 -0.642300 
7.925400 5.278200 -0.647200 
7.611500 5.271400 -0.651500 
7.729400 5.267100 -0.651700 
7.755300 5.269300 -0.653800 
7.860400 5.280300 -0.647700 
7.659300 5.270200 -0.653800 
7.707600 5.266500 -0.651600 
7.826300 5.280700 -0.654500 
7.844000 5.280700 -0.652600 
7.987600 5.284400 -0.643900 
7.844800 5.277200 -0.711900 
7.828500 5.276800 -0.709800 
7.710400 5.262100 -0.703300 
7.662100 5.261900 -0.704100 
7.996900 5.283200 -0.706500 
7.614800 5.260900 -0.703100 
8.039800 5.314000 -0.706800 
8.041500 5.359300 -0.702200 
7.596000 5.258300 -0.699100 
7.863200 5.274700 -0.711500 
7.731500 5.264600 -0.704200 
7.928000 5.274600 -0.709000 
7.753800 5.268300 -0.706300 
7.560000 5.252300 -0.695000 
7.685000 5.261600 -0.703700 
7.790500 5.271100 -0.710800 
8.044400 5.348300 -0.703800 
7.963800 5.369000 -0.684600 
8.038300 5.368900 -0.679100 
8.014500 5.367100 -0.644700 
8.016800 5.359300 -0.711600 
7.970900 5.363000 -0.705400 
8.004100 5.359900 -0.713900 
7.994300 5.366500 -0.640800 
7.963400 5.370300 -0.659400 
8.032700 5.366700 -0.657800 
8.035900 5.364700 -0.699300 
7.999600 5.368200 -0.679400 
8.014200 5.368300 -0.679700 
7.877000 5.315500 -0.745600 
7.875300 5.338100 -0.745600 
7.879700 5.268400 -0.677400 
7.867100 5.386900 -0.661200 
7.870400 5.379900 -0.717900 
7.866000 5.391500 -0.689500 
7.874400 5.328300 -0.615800 
7.871000 5.351200 -0.621700 
7.878600 5.279100 -0.645000 
7.879300 5.273200 -0.711300 
7.346500 5.011400 0.056400 
7.372400 5.205300 0.031500 
7.359600 5.150600 0.091000 
7.349700 5.035800 0.100700 
7.344600 5.009500 0.010000 
7.359100 5.189100 -0.011400 
7.545000 4.996900 0.037900 
7.498100 5.031300 0.062600 
7.588600 4.986900 0.021400 
7.547000 5.158200 0.069000 
7.590200 5.152000 0.044300 
7.633500 5.080900 0.008100 
7.507500 5.124600 0.080800 
7.487500 5.078300 0.079900 
7.648300 5.072400 0.040100 
7.497900 5.076500 0.074200 
7.610500 5.000500 0.045000 
7.612800 5.131500 0.064600 
7.522600 5.121200 0.082400 
7.559100 5.140800 0.081200 
7.558200 5.004600 0.046600 
7.354000 5.088200 0.121900 
7.507600 5.031400 0.062300 
7.345100 5.108800 -0.056300 
7.482800 5.031600 0.064100 
7.520400 4.993700 0.037900 
7.529600 5.169600 0.058700 
7.494300 5.129800 0.078300 
7.561200 5.166800 0.028400 
7.553300 4.983500 0.006600 
7.475200 5.080000 0.083000 
7.603100 5.084800 -0.016800 
7.497900 5.097800 -0.053000 
7.448400 5.084100 0.092100 
7.479200 4.993200 -0.008000 
7.490800 5.181400 0.001500 
7.461200 5.138700 0.075700 
